601,"474,584,516,630"
602,"530,584,572,630"
603,"586,584,628,630"
604,"642,584,684,630"
605,"698,584,740,630"
606,"754,584,796,630"
607,"810,584,852,630"
608,"866,584,908,630"
609,"474,644,516,690"
610,"530,644,572,690"
611,"586,644,628,690"
612,"642,644,684,690"
613,"698,644,740,690"
614,"754,644,796,690"
615,"810,644,852,690"
616,"866,644,908,690"
617,"474,730,516,776"
618,"530,730,572,776"
619,"586,730,628,776"
620,"642,730,684,776"
621,"698,730,740,776"
622,"754,730,796,776"
623,"810,730,852,776"
624,"866,730,908,776"
501,"398,514,421,550"
502,"445,514,469,550"
503,"492,514,517,550"
504,"539,514,565,550"
505,"586,514,613,550"
506,"635,514,659,550"
507,"683,514,707,550"
508,"731,514,755,550"
509,"779,514,803,550"
510,"827,514,851,550"
511,"875,514,899,550"
301,"937,699,966,766"
302,"937,629,964,671"
303,"937,565,964,607"
304,"937,501,964,543"
305,"1019,540,1061,567"
306,"1084,540,1126,567"
307,"1149,540,1191,573"
308,"1214,540,1256,577"
309,"1279,540,1321,577"
310,"1344,540,1386,577"
311,"1409,540,1451,577"
312,"1010,593,1070,642"
313,"1094,593,1154,642"
314,"1178,593,1238,642"
315,"1262,593,1322,642"
316,"1344,593,1385,641"
317,"1410,594,1451,642"
318,"1119,729,1170,772"
319,"1193,729,1244,772"
320,"1267,729,1318,772"
321,"1345,729,1399,778"
322,"1419,734,1454,779"
417,"374,412,406,460"
418,"421,412,453,460"
419,"468,412,500,460"
420,"512,412,542,460"
421,"559,412,589,460"
422,"606,412,636,460"
423,"650,412,681,460"
424,"697,412,728,460"
409,"374,340,406,385"
410,"421,340,453,385"
411,"468,340,500,385"
412,"512,340,542,385"
413,"559,340,589,385"
414,"606,340,636,385"
415,"650,340,681,385"
416,"697,340,728,385"
401,"374,265,406,312"
402,"421,265,453,312"
403,"468,265,500,312"
404,"523,265,555,312"
405,"570,265,602,312"
406,"619,265,647,312"
407,"665,265,694,312"
408,"712,265,741,312"
201,"818,274,860,306"
202,"884,274,926,306"
203,"950,274,992,306"
204,"1016,274,1058,306"
205,"1082,274,1124,306"
209,"794,416,838,468"
210,"862,416,906,468"
211,"930,416,974,468"
212,"998,416,1042,468"
213,"1066,416,1110,468"
214,"1186,381,1239,465"
215,"1275,381,1328,465"
216,"1382,387,1460,483"
206,"1151,274,1193,306"
207,"1223,274,1283,309"
208,"1312,274,1372,309"
701,"149,243,191,290"
702,"209,243,251,290"
703,"268,243,307,273"
704,"322,265,346,301"
705,"124,288,140,305"
706,"102,335,144,384"
707,"206,342,238,389"
708,"255,342,287,389"
709,"304,342,336,389"
710,"206,412,238,460"
711,"255,412,287,460"
712,"304,412,336,460"
713,"102,402,134,468"
714,"102,504,130,536"
715,"166,504,204,548"
716,"214,504,252,548"
717,"262,504,300,548"
718,"310,504,348,548"
719,"102,550,141,617"
723,"102,656,139,693"
727,"102,710,145,771"
720,"168,562,198,616"
721,"222,562,260,616"
722,"284,562,322,616"
724,"167,645,223,708"
725,"229,645,285,708"
726,"291,645,347,708"
728,"175,723,220,771"
729,"237,723,282,771"
730,"299,723,344,771"
