noserie,vitessecd,memoire,slotram,slotramlibre,cpu,hdd,ip,codos_installer,codos_etiquette
cd5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
CJPDDC1,48,4096,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,WXP,WXP
cl5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
CLB2VK1,NULL,3072,NULL,NULL,"2 Duo P8600",160Go,,W07,VIS
CLCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
cm5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
cmbvw31,48,1024,NULL,NULL,"P4 2.8 GHZ","40 GO",,WXP,WXP
CN0GF4704864369T3067,48,1024,NULL,NULL,"INTEL GENUINE CPU","60 GO",,WXP,WXP
cn0jf2404864367n0316,48,2048,NULL,NULL,"GENUINE INTEL CPU ","40 GO",,WXP,WXP
cznhx11,48,1024,NULL,NULL,"P4 1.8ghz","40 GO",,WXP,WXP
czpts81,48,2560,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
d2zccb1,48,1024,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
D4CZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
D871S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
D8JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
dc5hfc1,48,2560,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
df5skb1,48,2560,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
dmk62b1,48,1024,NULL,NULL,"PENTIUM 4",80Go,,WXP,WXP
dnbvw31,48,1024,NULL,NULL,"P4 2.4GHZ","40 GO",,WXP,WXP
drk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
DSX1MJ1,NULL,3072,NULL,NULL,"2 Duo P8600",160Go,,W07,VIS
dznhx11,48,1024,NULL,NULL,"P4 1.8ghz","40 GO",,WXP,WXP
f0qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
f0sby11,48,640,NULL,NULL,P4,"40 GO",,WXP,WXP
f1sby11,48,1024,2,0,"P4 1.8ghz","20 GO",,WXP,WXP
fc5hfc1,48,2048,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
FFCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
FKGQQM1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
fl5hfc1,48,2048,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
fmk62b1,NULL,2560,NULL,NULL,,,,WXP,WXP
fqk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
fypts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
FZNHX11,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
fzpts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
g0qts81,48,2560,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
g577pd1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
gd5hfc1,48,2048,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
gjpddc1,48,1024,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,WXP,WXP
gnk62b1,48,2048,NULL,NULL,"P4 2.8ghz",80GO,,W07,WXP
GQ02N02,48,8192,NULL,NULL,i5,320,,W07,W07
GVB50P1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
gwj1921,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
GYB50P1,NULL,5000,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
gypts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
GZNHX11,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
gzpts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
h0zhpc1,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
h2zhpc1,48,3072,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
H5JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
HA17HVFL213784X,48,2048,NULL,NULL,"INTEL CORE 2 DUO",150,,W07,VIS
HGC50P1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",160Go,,W07,W07
HK1ZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
hl5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
HL71S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
hpk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
HYJ1921,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
hypts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
HZNHX11,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
HZPTS81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
j0qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
J87ZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
jb5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
jmk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
jsk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
jxj1921,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
jypts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
jzpts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
mjgc328,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,VIS
MXL6510SZN,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
MXL6510TK6,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl6510tyd,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl6510vmd,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
MXL6510VTG,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
MXL65201TZ,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
MXL65201YT,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl65202hx,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl65208v8,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
MXL652095J,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl652099h,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl65209ct,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl6520h1m,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
mxl70105dh,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
MXL70105Z1,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
MXL7010SRF,48,1024,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
mxl7470879,48,2048,NULL,NULL,"INTEL CORE 2 DUO",80,,W07,WXP
pl17h9np605993k,48,1024,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
use913n6fp,NULL,NULL,NULL,NULL,,,,VIS,VIS
xb059620r,NULL,4096,NULL,NULL,"I5 CORE",300,,W07,W07
y7014321h,48,2048,NULL,NULL,"INTEL CORE2 DUO","120 GO",,WXP,VIS
y7014536h,48,2048,NULL,NULL,"INTEL CORE 2 DUO","120 GO",,W07,VIS
ZB320023Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320068Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320081Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320087Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320097Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320164Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320172Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320173Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320195Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320237Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320264Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320279Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320281Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320417Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320452Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320453Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320461Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320468Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB320566Q,NULL,NULL,NULL,NULL,,,,W07,W07
ZB321313Q,NULL,NULL,NULL,NULL,,,,W07,W07
